h,latitude_deg,T,P,rho,a
6000,60,243.8875,45752.42999999999,0.65384115,313.06883261113677
7000,60,237.64249999999998,39704.065,0.58209205,309.0346090221935
8000,60,231.399,34325.43,0.51668145,304.9480086929574
9000,60,225.15800000000002,29561.535000000003,0.4571858,300.807564937453
10000,60,221.6605,25378.54,0.3986013,298.46211838204863
12000,60,221.65,18662.745,0.29309835,298.45504926202875
14000,60,221.65,13727.295,0.21555985,298.45504926202875
16000,60,221.405,10098.563,0.15872785,298.2900555684014
18000,60,220.90699999999998,7426.476000000001,0.1169654,297.9543990267638
20000,60,220.4095,5459.099999999999,0.086151115,297.6187015039545
22000,60,219.912,4011.2470000000003,0.06342585,297.2826249049883
24000,60,220.12,2946.9245,0.04653014,297.42318151751385
26000,60,221.67000000000002,2168.599,0.033979675,298.4685141082724
28000,60,223.85399999999998,1600.8785,0.024823400000000002,299.9352382878677
30000,60,226.037,1185.7375,0.01819525,301.3941581142541
32000,60,228.2185,881.1556,0.013381045000000001,302.8450546281052
34000,60,231.7955,657.5351499999999,0.0098182085,305.20915963663344
36000,60,236.13400000000001,493.29824999999994,0.007220398,308.0522071707976
38000,60,241.38,372.51075000000003,0.005327264,311.45528474565975
40000,60,246.622,283.1494,0.003958131,314.81902571541
42000,60,251.861,216.58195,0.002960697,318.14530938896456
44000,60,257.097,166.6662,0.0022289395,321.43529861762227
46000,60,262.3295,128.99913500000002,0.0016884655,324.6897872568523
48000,60,265.00649999999996,100.28221500000001,0.0012994600000000001,326.34226692584576
50000,60,266.5,78.121035,0.0010068726,327.26056025741934
52000,60,265.437,60.89045,0.0007875672,326.60722898521396
54000,60,262.187,47.355295,0.00062025415,324.6015879126287
56000,60,258.9395,36.71597,0.00048716205,322.58503438767895
58000,60,255.6935,28.37609,0.0003815422,320.5567356299037
60000,60,252.45,21.857660000000003,0.000297933,318.51709811248753
62000,60,247.35750000000002,16.762155,0.0002339614,315.28811811817457
64000,60,241.6635,12.763330999999999,0.00018323339999999999,311.6381326662384
66000,60,235.973,9.643,0.00014258040500000002,307.94717176262554
68000,60,230.286,7.224589999999999,0.000110159335,304.21374397157007
70000,60,224.6025,5.364124,8.444664500000001e-05,300.4362661289412
72000,60,218.9225,3.9445385,6.418257500000001e-05,296.61305525802464
74000,60,213.24599999999998,2.871006,4.8325985000000003e-05,292.74231954604716
76000,60,207.573,2.067055,3.601718e-05,288.82214824455554
78000,60,201.9035,1.4713455,2.6547609999999997e-05,284.8505003325428
80000,60,196.2375,1.03498365,1.9334780000000002e-05,280.8251917519153
0,80,262.79999999999995,101290.0,1.346504,324.9808298346227
1000,80,262.7925,88893.68,1.179816,324.97619251800586
2000,80,259.3355,77959.12,1.0481660000000002,322.83160717950153
3000,80,255.86900000000003,68254.73499999999,0.92987335,320.6667268049493
4000,80,250.55349999999999,59623.59,0.8296241,317.3184321304074
5000,80,244.094,51918.634999999995,0.7414171,313.2013425494852
6000,80,237.64249999999998,45044.979999999996,0.66062265,309.0346090221935
7000,80,231.1895,38931.595,0.5867913499999999,304.80993317295287
8000,80,224.765,33511.854999999996,0.51942855,300.54492935832405
9000,80,221.0725,28752.05,0.4528398,298.0659894712914
10000,80,220.7975,24637.114999999998,0.38846654999999997,297.880544303417
12000,80,220.248,18083.135000000002,0.28573804999999997,297.5096448883632
14000,80,219.6995,13266.775000000001,0.21004485,297.1389587430433
16000,80,219.0255,9729.111,0.15438924999999998,296.68282321715225
18000,80,218.2275,7130.425,0.11344685,296.14186124305354
20000,80,217.4305,5222.856,0.083290915,295.6005890438989
22000,80,217.672,3826.54,0.060862705,295.76470523441435
24000,80,219.873,2808.9565000000002,0.044172325,297.25626314108166
26000,80,223.106,2071.83,0.032077295,299.43370763025325
28000,80,226.3365,1535.5124999999998,0.023418309999999998,301.59376629549223
30000,80,229.5645,1143.26575,0.017183435,303.7368100607827
32000,80,232.791,854.9667,0.01266945,305.8638535234263
34000,80,237.11399999999998,642.5962499999999,0.009337874,308.6907822705433
36000,80,241.3775,485.7159,0.006923975,311.4536718526529
38000,80,245.6385,369.14594999999997,0.005163387,314.1906677110254
40000,80,249.897,282.04155000000003,0.00387176,316.9024407564574
42000,80,254.15249999999997,216.59980000000002,0.0029187965,319.58931868180446
44000,80,258.40549999999996,167.17345,0.0022118290000000002,322.2522359706756
46000,80,261.6005,129.620115,0.0016923485,324.2383253983094
48000,80,263.18100000000004,100.721085,0.00130782415,325.21631851769064
50000,80,263.375,78.34946500000001,0.00101591265,325.3361606477214
52000,80,263.375,60.97,0.0007898925,325.3361606477214
54000,80,261.09,47.427975,0.0006203114,323.92180364711476
56000,80,256.804,36.75002,0.0004895075,321.2520849065419
58000,80,252.52050000000003,28.344655,0.00038476855,318.56157006315124
60000,80,248.2395,21.755035,0.00030117079999999997,315.8497276726703
62000,80,243.2505,16.606426,0.00023556475,312.6597193229406
64000,80,237.64800000000002,12.582987000000001,0.0001837519,309.0381851512852
66000,80,232.049,9.456654499999999,0.00014234873999999998,305.3760079570758
68000,80,226.45299999999997,7.044859000000001,0.00010944393,301.67137453295095
70000,80,220.8615,5.198898999999999,8.345302e-05,297.9237127576454
72000,80,215.27249999999998,3.7981365,6.3063915e-05,294.13001159266287
74000,80,209.9505,2.745267,4.710068500000001e-05,290.4714946894101
76000,80,205.9355,1.9669195,3.454538e-05,287.6806637820832
78000,80,201.923,1.3984545000000002,2.514376e-05,284.86425554393446
80000,80,197.913,0.9864986,1.8155755e-05,282.02150369182846
