h,latitude_deg,season,w,r_g_per_kg,T,P,rho,a
0,45,winter,0.5,1.4949999999999999,272.65,101800.0,1.2995324751192794,331.0151063471273
0,45,winter,0.75,2.2424999999999997,272.65,101800.0,1.2989441517980596,331.0151063471273
0,45,winter,1.0,2.9899999999999998,272.65,101800.0,1.2983558284768402,331.0151063471273
1000,45,winter,0.0,0.0,268.651,89729.65000000001,1.163550995868734,328.57861419179426
1000,45,winter,0.25,0.5549999999999999,268.651,89729.65000000001,1.16315886481601,328.57861419179426
1000,45,winter,0.5,1.1099999999999999,268.651,89729.65000000001,1.1627667337632857,328.57861419179426
1000,45,winter,0.75,1.6649999999999998,268.651,89729.65000000001,1.1623746027105617,328.57861419179426
1000,45,winter,1.0,2.2199999999999998,268.651,89729.65000000001,1.1619824716578373,328.57861419179426
2000,45,winter,0.0,0.0,264.653,78944.1,1.0391560407003408,326.1245354961813
2000,45,winter,0.25,0.39875,264.653,78944.1,1.038903213700372,326.1245354961813
2000,45,winter,0.5,0.7975,264.653,78944.1,1.0386503867004033,326.1245354961813
2000,45,winter,0.75,1.19625,264.653,78944.1,1.0383975597004345,326.1245354961813
2000,45,winter,1.0,1.595,264.653,78944.1,1.0381447327004656,326.1245354961813
3000,45,winter,0.0,0.0,260.656,69322.56999999999,0.9264987518317647,323.6524702133447
3000,45,winter,0.25,0.28625,260.656,69322.56999999999,0.9263364568394097,323.6524702133447
3000,45,winter,0.5,0.5725,260.656,69322.56999999999,0.9261741618470546,323.6524702133447
3000,45,winter,0.75,0.85875,260.656,69322.56999999999,0.9260118668546996,323.6524702133447
3000,45,winter,1.0,1.145,260.656,69322.56999999999,0.9258495718623445,323.6524702133447
4000,45,winter,0.0,0.0,254.665,60722.91,0.8306560341107667,319.9113832657412
4000,45,winter,0.25,0.191875,254.665,60722.91,0.8305849351674306,319.9113832657412
4000,45,winter,0.5,0.38375,254.665,60722.91,0.8305138362240945,319.9113832657412
4000,45,winter,0.75,0.5756249999999999,254.665,60722.91,0.8304427372807586,319.9113832657412
4000,45,winter,1.0,0.7675,254.665,60722.91,0.8303716383374224,319.9113832657412
5000,45,winter,0.0,0.0,248.674,53024.82,0.7428253781124343,316.12602678488844
