h,latitude_deg,season,T,P,rho,a
50000,60,winter,251.35,54.46827,0.0007549232,317.82240350547977
52000,60,winter,250.706,41.66374,0.0005789381,317.4149857602819
54000,60,winter,248.736,31.82256,0.0004456916,316.1654329796349
56000,60,winter,246.768,24.25802,0.0003424563,314.9121982165822
58000,60,winter,244.801,18.45465,0.0002626223,313.65459670503793
60000,60,winter,242.835,14.01113,0.0002010021,312.39257570723413
62000,60,winter,240.87,10.61557,0.0001535319,311.1260814428774
64000,60,winter,238.906,8.026052,0.0001170341,309.85505906019995
66000,60,winter,236.944,6.05529,8.902811e-05,308.5801037733962
68000,60,winter,234.983,4.5585569999999995,6.758167e-05,307.3005127535585
70000,60,winter,233.023,3.4242389999999996,5.119209e-05,306.01622784845904
72000,60,winter,231.065,2.566429,3.869314e-05,304.72784910966044
74000,60,winter,229.107,1.9191429999999998,2.918143e-05,303.4339999726464
76000,60,winter,227.151,1.431797,2.195861e-05,302.1359402722556
78000,60,winter,225.196,1.065701,1.64859e-05,300.8329475692448
80000,60,winter,223.242,0.7913193000000001,1.234847e-05,299.5249574850149
0,60,summer,282.15,101020.0,1.247284,336.7325430219063
1000,60,summer,277.945,89406.17,1.120588,334.21389037411353
2000,60,summer,273.742,78983.45000000001,1.005155,331.677324000903
3000,60,summer,269.54,69644.84,0.9001273,329.1218191916179
4000,60,summer,265.339,61291.59,0.8047065,326.5469313189147
5000,60,summer,261.133,53832.53,0.7181598,323.9484765647154
6000,60,summer,254.136,47149.689999999995,0.6463242,319.57894438025795
7000,60,summer,247.142,41149.340000000004,0.5799844,315.1507473200722
8000,60,summer,240.149,35767.68,0.518857,310.6600831387901
9000,60,summer,233.159,30965.570000000003,0.4626632,306.1055154645208
10000,60,summer,226.171,26692.09,0.4111344,301.4834816174843
12000,60,summer,226.15,19744.94,0.3041566,301.4694849068476
14000,60,summer,226.15,14608.68,0.2250363,301.4694849068476
16000,60,summer,226.15,10810.56,0.1665289,301.4694849068476
18000,60,summer,226.15,8001.425,0.1232562,301.4694849068476
20000,60,summer,226.15,5923.362999999999,0.09124517,301.4694849068476
22000,60,summer,226.15,4385.823,0.06756046,301.4694849068476
24000,60,summer,227.56,3249.429,0.0497449,302.40782554689287
26000,60,summer,230.541,2416.029,0.03650837,304.3821281583398
28000,60,summer,233.519,1803.554,0.02690572,306.3417394182517
30000,60,summer,236.496,1351.586,0.0199094,308.28824305055815
32000,60,summer,239.471,1016.7210000000001,0.01479066,310.2212380676088
34000,60,summer,245.237,768.8100999999999,0.01092122,313.93378790025133
36000,60,summer,251.179,585.3488,0.008118375,317.71427365134224
38000,60,summer,257.118,448.5908,0.006077942,321.4484259653483
40000,60,summer,263.052,345.935,0.004581318,325.1366052267877
42000,60,summer,268.983,268.3643,0.003475661,328.78158089923465
